policy_id,insurance_price,minimal_payout,maximal_payout,duration_of_policy
353388,350,35000,488473,27
226417,200,20000,483867,327
114609,200,20000,417069,77
274257,350,35000,401257,12
661927,200,20000,423205,61
481219,50,5000,420880,96
267919,350,35000,402602,179
881259,150,15000,476670,76
660380,150,15000,467246,71
336845,200,20000,402385,85
691742,100,10000,480182,70
362037,200,20000,420644,308
655316,150,15000,464352,29
735622,200,20000,455288,115
185155,50,5000,429452,82
565167,200,20000,432232,364
296231,100,10000,499353,362
175405,200,20000,456996,78
318389,50,5000,479925,220
733060,200,20000,447220,193
721266,200,20000,449947,319
160798,50,5000,435579,268
797622,50,5000,427058,264
699528,100,10000,454755,210
407000,200,20000,452053,26
812921,200,20000,495033,212
345697,150,15000,465547,193
702162,350,35000,457858,86
708593,50,5000,438749,228
317907,350,35000,483640,293
992034,350,35000,437273,79
359615,50,5000,453212,261
743746,100,10000,418413,271
366952,350,35000,451709,173
345333,100,10000,485863,260
988821,50,5000,432144,283
172844,150,15000,403843,21
690395,200,20000,436893,139
359999,100,10000,442607,115
723230,350,35000,495295,17
772094,350,35000,416452,81
819225,50,5000,443434,51
771752,150,15000,430645,132
684878,100,10000,446437,45
930108,100,10000,446724,88
133137,100,10000,448397,264
964558,50,5000,412824,154
329067,200,20000,492277,166
118155,100,10000,474808,201
777707,200,20000,473249,193
833737,200,20000,448986,329
848661,50,5000,446492,136
652770,350,35000,450348,291
995208,200,20000,402880,46
835860,200,20000,444186,221
777679,350,35000,455546,365
344448,50,5000,485131,111
486400,350,35000,423539,295
259420,150,15000,445146,109
663306,150,15000,449176,202
687764,50,5000,465403,69
870156,150,15000,433957,45
479363,150,15000,464169,243
437561,150,15000,458159,30
471964,150,15000,432297,77
589206,350,35000,456309,204
502349,100,10000,444270,228
275613,350,35000,499812,171
558274,200,20000,429650,52
577807,150,15000,412254,303
417344,100,10000,427852,214
100585,100,10000,451819,163
813191,200,20000,431525,332
473933,50,5000,403580,334
331746,350,35000,486958,24
215559,100,10000,419652,138
295014,100,10000,484953,325
144914,150,15000,409562,263
508444,350,35000,461772,124
919423,50,5000,443761,273
510909,150,15000,474169,169
904165,50,5000,493921,252
235759,150,15000,412129,218
527254,50,5000,401066,361
338912,150,15000,459995,26
136278,50,5000,445079,107
992632,50,5000,466101,337
645267,350,35000,461285,306
445319,200,20000,401371,302
722472,200,20000,410405,63
908330,350,35000,494278,154
362409,100,10000,496465,300
101854,150,15000,498724,11
466298,100,10000,499446,90
720204,350,35000,468247,326
978370,100,10000,488308,341
968937,350,35000,439128,342
763536,200,20000,458571,138
602291,350,35000,479487,288
453898,350,35000,429094,116
404803,200,20000,412075,59
421543,150,15000,483610,321
509992,100,10000,457417,92
369569,100,10000,412031,347
204372,200,20000,442252,242
960003,200,20000,434765,291
933650,100,10000,447024,56
590712,200,20000,430669,85
331921,350,35000,482828,361
650835,350,35000,469370,317
585574,200,20000,407119,41
735339,50,5000,405731,16
411199,350,35000,427531,264
237326,100,10000,465150,111
285098,150,15000,406822,51
385922,50,5000,478127,294
312499,50,5000,406421,336
968114,50,5000,428980,35
264555,150,15000,486246,201
647887,100,10000,446684,272
185045,50,5000,411577,181
813345,50,5000,489886,43
616635,350,35000,480428,281
105667,200,20000,467652,230
462585,50,5000,422743,343
448716,200,20000,433469,256
541276,350,35000,487726,66
417418,350,35000,416369,185
620534,150,15000,461857,228
885407,50,5000,460774,217
408386,50,5000,427898,8
406233,100,10000,425494,176
654618,350,35000,459278,73
855300,350,35000,401885,307
828350,50,5000,480563,9
940082,200,20000,438718,49
795660,50,5000,484027,105
489072,200,20000,450151,248
259901,100,10000,402962,290
710680,100,10000,401618,105
455656,50,5000,459791,22
724082,50,5000,480829,124
478976,50,5000,452813,174
867211,50,5000,498918,273
668905,350,35000,492594,115
252450,100,10000,426639,10
185710,350,35000,432333,130
977479,150,15000,412915,195
207287,100,10000,411769,19
399801,350,35000,468834,332
682253,150,15000,407662,197
537126,150,15000,450806,237
762072,100,10000,484771,177
564202,350,35000,493035,195
905933,350,35000,444002,289
317938,50,5000,401241,225
152422,50,5000,423300,71
957372,100,10000,474875,81
610867,200,20000,485670,47
958561,100,10000,404870,104
741894,200,20000,478220,34
612477,100,10000,483028,361
934723,100,10000,439692,72
193998,350,35000,488384,118
428260,100,10000,490525,124
997702,50,5000,447089,300
